egfr,iressa,lung,month,tar,"Evergreen,_Edmonton",Donkey_Punch_(pornographic_film)
244,126,2461,200912,162,0.0,0.0
258,129,2454,200912,209,0.0,0.0
215,91,2163,200912,154,0.0,0.0
121,100,1819,201001,86,1.0,0.0
163,69,1969,201001,107,2.0,0.0
166,71,2070,201001,99,0.0,0.0
281,133,2604,201001,189,0.0,0.0
349,154,2992,201001,210,0.0,0.0
384,168,3271,201001,222,0.0,0.0
430,208,3654,201001,264,0.0,0.0
349,153,3337,201001,223,2.0,0.0
271,130,2726,201001,164,1.0,0.0
221,132,2355,201001,182,0.0,0.0
377,256,3762,201001,293,1.0,0.0
404,235,3680,201001,251,0.0,0.0
429,222,3722,201001,267,0.0,0.0
414,200,3470,201001,276,0.0,0.0
435,175,3410,201001,250,0.0,0.0
241,136,2614,201001,138,3.0,0.0
326,132,2672,201001,179,0.0,0.0
459,208,3479,201001,267,1.0,0.0
433,199,3769,201001,266,1.0,0.0
451,208,3531,201001,243,1.0,0.0
472,184,3632,201001,239,0.0,0.0
454,190,3519,201001,239,0.0,0.0
0,0,0,201001,0,0.0,0.0
0,0,0,201001,0,0.0,0.0
401,219,3944,201001,238,0.0,0.0
457,179,3524,201001,215,1.0,0.0
458,182,3672,201001,289,1.0,0.0
447,190,3583,201001,243,1.0,0.0
366,177,2886,201001,249,0.0,0.0
302,150,2441,201001,135,1.0,0.0
244,172,2735,201001,142,0.0,0.0
456,264,3585,201002,246,0.0,0.0
480,197,3695,201002,278,0.0,0.0
483,236,3812,201002,272,0.0,0.0
534,183,4254,201002,244,0.0,0.0
435,189,3607,201002,220,0.0,0.0
254,125,2643,201002,151,0.0,0.0
311,141,2978,201002,164,1.0,0.0
0,0,0,201002,0,0.0,0.0
498,237,3766,201002,223,0.0,0.0
443,177,3569,201002,222,1.0,0.0
535,147,3673,201002,219,0.0,0.0
440,180,3128,201002,214,0.0,0.0
218,90,2355,201002,142,3.0,0.0
256,91,2259,201002,124,0.0,0.0
400,147,3245,201002,198,0.0,0.0
387,175,3303,201002,248,0.0,0.0
463,225,3521,201002,237,1.0,0.0
496,219,3785,201002,260,0.0,0.0
423,205,3052,201002,202,0.0,0.0
272,112,2414,201002,160,1.0,0.0
368,109,2827,201002,128,0.0,0.0
561,249,3842,201002,249,0.0,0.0
520,174,0,201002,258,1.0,0.0
436,186,3648,201002,251,1.0,0.0
418,150,3348,201002,211,2.0,0.0
383,166,3166,201002,192,0.0,0.0
268,114,2491,201002,129,1.0,0.0
294,102,2526,201002,134,1.0,0.0
0,0,0,201002,0,0.0,0.0
0,0,0,201002,0,0.0,0.0
0,0,0,201002,0,0.0,0.0
405,234,3483,201003,282,0.0,0.0
492,222,3615,201003,328,0.0,0.0
508,205,3716,201003,280,0.0,0.0
509,225,3755,201003,255,0.0,0.0
447,196,3610,201003,243,0.0,0.0
253,98,2529,201003,121,0.0,0.0
271,132,2650,201003,138,1.0,0.0
442,230,3497,201003,230,0.0,0.0
495,187,3811,201003,236,2.0,0.0
475,224,3829,201003,296,2.0,0.0
424,200,3861,201003,254,0.0,0.0
435,211,3631,201003,244,1.0,0.0
302,174,2847,201003,187,1.0,0.0
267,146,2910,201003,163,0.0,0.0
489,250,3613,201003,239,0.0,0.0
464,234,3853,201003,218,2.0,0.0
496,221,3943,201003,279,0.0,0.0
508,237,4073,201003,233,0.0,0.0
435,251,4210,201003,341,0.0,0.0
281,162,2871,201003,142,0.0,0.0
329,109,2757,201003,138,0.0,0.0
438,233,3542,201003,185,0.0,0.0
474,205,3582,201003,236,0.0,0.0
441,212,3708,201003,295,1.0,0.0
507,248,3625,201003,278,0.0,0.0
455,249,3422,201003,213,0.0,0.0
276,122,2846,201003,143,1.0,0.0
253,111,2488,201003,133,0.0,0.0
405,175,3229,201003,233,0.0,0.0
478,237,3128,201003,291,0.0,0.0
403,268,3320,201003,314,1.0,0.0
559,211,3122,201004,249,0.0,0.0
329,186,2533,201004,216,0.0,0.0
197,116,2184,201004,168,0.0,0.0
234,99,2339,201004,120,0.0,0.0
376,120,2868,201004,192,0.0,0.0
390,155,2988,201004,202,0.0,0.0
513,176,3324,201004,280,0.0,0.0
463,219,3589,201004,287,0.0,0.0
415,183,3253,201004,236,0.0,0.0
252,103,2388,201004,167,2.0,0.0
285,103,2548,201004,161,0.0,0.0
533,180,3289,201004,232,0.0,0.0
461,193,3729,201004,265,0.0,0.0
481,170,3663,201004,229,0.0,0.0
434,196,4060,201004,277,0.0,0.0
461,206,4116,201004,268,1.0,0.0
300,120,2922,201004,177,0.0,0.0
342,136,2867,201004,218,0.0,0.0
521,203,3740,201004,323,1.0,0.0
515,209,4035,201004,311,0.0,0.0
534,246,4079,201004,298,0.0,0.0
565,172,3951,201004,312,0.0,0.0
505,199,3892,201004,295,0.0,0.0
350,125,2759,201004,150,1.0,0.0
360,113,2816,201004,160,0.0,0.0
592,202,3988,201004,300,0.0,0.0
613,213,4312,201004,305,0.0,0.0
621,234,4038,201004,273,0.0,0.0
553,230,4820,201004,304,0.0,0.0
481,196,3984,201004,280,0.0,0.0
0,0,0,201004,0,0.0,0.0
326,121,2762,201005,145,1.0,0.0
318,133,2967,201005,156,0.0,0.0
510,210,4042,201005,266,0.0,0.0
584,199,4360,201005,281,0.0,0.0
515,208,4266,201005,288,0.0,0.0
538,226,4252,201005,278,0.0,0.0
481,177,3881,201005,264,0.0,0.0
284,103,2570,201005,150,1.0,0.0
265,144,2723,201005,157,0.0,0.0
534,205,4018,201005,271,0.0,0.0
554,209,3831,201005,269,0.0,0.0
517,195,3880,201005,251,0.0,0.0
410,159,3191,201005,203,0.0,0.0
391,183,3162,201005,230,0.0,0.0
302,86,2643,201005,160,0.0,0.0
254,96,2751,201005,150,0.0,0.0
445,187,3746,201005,286,0.0,0.0
383,151,3360,201005,263,0.0,0.0
382,144,2962,201005,215,0.0,0.0
442,248,3809,201005,299,0.0,0.0
409,233,3459,201005,256,1.0,0.0
244,130,2700,201005,147,1.0,0.0
280,148,2583,201005,175,0.0,0.0
410,170,3367,201005,253,0.0,0.0
494,201,3764,201005,291,0.0,0.0
445,194,3928,201005,280,0.0,0.0
407,166,3537,201005,243,0.0,0.0
303,147,2740,201005,177,0.0,0.0
243,115,2526,201005,145,1.0,0.0
253,79,2352,201005,136,0.0,0.0
290,148,2898,201005,172,0.0,0.0
356,183,3237,201006,241,0.0,0.0
435,183,3682,201006,277,2.0,0.0
451,140,3601,201006,263,0.0,0.0
440,208,3293,201006,228,0.0,0.0
229,133,2785,201006,189,1.0,0.0
282,107,2662,201006,188,1.0,0.0
449,182,3568,201006,291,0.0,0.0
447,181,3418,201006,419,0.0,0.0
425,175,3387,201006,272,0.0,0.0
434,168,3144,201006,240,0.0,0.0
233,122,1946,201006,166,0.0,0.0
54,26,493,201006,27,0.0,0.0
36,21,458,201006,36,0.0,0.0
102,30,524,201006,50,0.0,0.0
209,96,1509,201006,146,0.0,0.0
287,145,2219,201006,178,0.0,0.0
432,166,3145,201006,276,0.0,0.0
350,161,2614,201006,249,0.0,0.0
248,93,2367,201006,153,0.0,0.0
219,81,2348,201006,115,0.0,0.0
361,172,3077,201006,269,1.0,0.0
373,183,3172,201006,222,0.0,0.0
429,160,2944,201006,205,0.0,0.0
306,207,2591,201006,202,0.0,0.0
287,172,2391,201006,176,0.0,0.0
0,0,0,201006,0,0.0,0.0
62,19,724,201006,36,0.0,0.0
0,0,0,201006,0,0.0,0.0
368,214,2847,201006,226,0.0,0.0
356,171,2939,201006,205,0.0,0.0
0,0,0,201006,0,0.0,0.0
314,148,2762,201007,236,1.0,0.0
293,184,2695,201007,181,0.0,0.0
184,94,1893,201007,95,0.0,0.0
145,95,1792,201007,90,0.0,0.0
0,0,0,201007,0,0.0,0.0
292,154,2398,201007,175,0.0,0.0
0,0,0,201007,0,0.0,0.0
0,0,0,201007,0,0.0,0.0
0,0,0,201007,0,0.0,0.0
0,0,0,201007,0,0.0,0.0
150,91,1929,201007,123,0.0,0.0
317,142,2282,201007,220,1.0,0.0
337,151,2623,201007,228,1.0,0.0
333,123,2667,201007,194,0.0,0.0
297,136,2612,201007,196,0.0,0.0
294,154,2550,201007,185,0.0,0.0
174,84,2059,201007,120,0.0,0.0
158,77,2161,201007,105,0.0,0.0
326,131,2652,201007,186,0.0,0.0
320,116,2750,201007,163,1.0,0.0
307,150,2841,201007,196,0.0,0.0
398,146,3428,201007,254,0.0,0.0
424,165,3363,201007,297,0.0,0.0
218,94,2707,201007,138,0.0,0.0
214,69,2830,201007,133,0.0,0.0
505,191,4006,201007,288,0.0,0.0
482,170,4076,201007,334,1.0,0.0
467,201,4091,201007,282,0.0,0.0
477,208,4081,201007,303,0.0,0.0
411,153,3404,201007,236,1.0,0.0
227,102,2680,201007,134,0.0,0.0
200,87,2745,201008,134,0.0,0.0
400,187,3765,201008,279,0.0,0.0
459,174,4266,201008,293,1.0,0.0
463,180,4186,201008,270,0.0,0.0
461,178,4083,201008,331,0.0,0.0
396,152,3615,201008,268,2.0,0.0
204,77,2722,201008,161,0.0,0.0
208,94,2754,201008,116,0.0,0.0
396,147,4454,201008,257,0.0,0.0
514,204,4166,201008,322,0.0,0.0
453,168,4108,201008,294,1.0,0.0
480,218,4013,201008,319,0.0,0.0
416,174,3612,201008,213,0.0,0.0
196,93,2787,201008,147,0.0,0.0
220,86,2963,201008,179,1.0,0.0
439,181,3809,201008,242,1.0,0.0
540,228,4296,201008,304,0.0,0.0
491,252,4099,201008,282,0.0,0.0
414,170,3879,201008,276,1.0,0.0
459,168,3469,201008,273,0.0,0.0
262,109,2720,201008,164,0.0,0.0
232,129,3043,201008,142,0.0,0.0
495,177,3863,201008,229,0.0,0.0
555,236,4156,201008,338,0.0,0.0
505,224,3903,201008,326,0.0,0.0
514,213,4141,201008,308,0.0,0.0
365,138,3470,201008,242,1.0,0.0
240,99,2703,201008,159,0.0,0.0
221,104,2832,201008,137,0.0,0.0
457,217,4033,201008,302,0.0,0.0
459,188,4154,201008,305,0.0,0.0
525,230,4780,201009,289,0.0,0.0
497,188,4482,201009,369,0.0,0.0
510,188,4049,201009,317,1.0,0.0
261,91,2832,201009,142,0.0,0.0
265,100,2732,201009,146,0.0,0.0
403,182,3807,201009,257,2.0,0.0
539,210,4394,201009,263,0.0,0.0
502,230,4417,201009,407,0.0,0.0
457,199,4181,201009,335,0.0,0.0
506,162,3828,201009,282,0.0,0.0
262,93,2800,201009,192,1.0,0.0
325,112,3263,201009,183,0.0,0.0
539,246,4671,201009,319,0.0,0.0
613,267,4970,201009,389,0.0,0.0
671,254,4852,201009,419,0.0,0.0
654,238,4623,201009,402,1.0,0.0
531,200,4089,201009,264,0.0,0.0
329,109,3021,201009,169,0.0,0.0
346,133,3272,201009,186,0.0,0.0
583,222,4405,201009,283,0.0,0.0
620,258,5068,201009,353,2.0,0.0
611,213,4627,201009,317,1.0,0.0
567,245,4613,201009,308,0.0,0.0
481,179,4213,201009,273,0.0,0.0
291,131,2860,201009,149,0.0,0.0
329,129,3385,201009,184,3.0,0.0
542,247,4700,201009,335,1.0,0.0
556,201,5239,201009,321,0.0,0.0
626,220,5058,201009,329,0.0,0.0
646,239,4975,201009,319,0.0,0.0
0,0,0,201009,0,0.0,0.0
533,182,4238,201010,293,0.0,0.0
303,133,3039,201010,172,1.0,0.0
349,123,3276,201010,172,0.0,0.0
594,220,4676,201010,304,0.0,0.0
740,238,5000,201010,313,0.0,0.0
677,232,4836,201010,329,1.0,0.0
645,248,4911,201010,333,0.0,0.0
666,196,4211,201010,278,0.0,0.0
325,113,3013,201010,154,0.0,0.0
373,110,3077,201010,163,1.0,0.0
701,224,4697,201010,334,0.0,0.0
754,318,5208,201010,341,0.0,0.0
740,261,4834,201010,376,0.0,0.0
720,257,5002,201010,314,0.0,0.0
552,202,4316,201010,235,0.0,0.0
281,131,3217,201010,164,0.0,0.0
398,120,3432,201010,159,1.0,0.0
680,233,4859,201010,309,0.0,0.0
603,279,5289,201010,337,0.0,0.0
633,241,5717,201010,330,0.0,0.0
650,282,4993,201010,377,0.0,0.0
561,195,4460,201010,327,0.0,0.0
337,119,3079,201010,184,0.0,0.0
393,150,3377,201010,192,0.0,0.0
787,272,4937,201010,399,0.0,0.0
759,265,5262,201010,376,0.0,0.0
711,272,4933,201010,384,0.0,0.0
767,266,8539,201010,344,1.0,0.0
553,184,4172,201010,252,1.0,0.0
275,120,2910,201010,175,0.0,0.0
358,138,3235,201010,214,0.0,0.0
673,265,4771,201011,302,0.0,0.0
679,233,4913,201011,332,0.0,0.0
648,244,4685,201011,355,0.0,0.0
641,231,5430,201011,326,0.0,0.0
593,198,7125,201011,307,0.0,0.0
307,110,3072,201011,145,0.0,0.0
392,149,3611,201011,168,2.0,0.0
619,234,4836,201011,312,0.0,0.0
717,225,4973,201011,290,0.0,0.0
607,236,5137,201011,369,0.0,0.0
667,246,4810,201011,310,0.0,0.0
575,212,4403,201011,304,1.0,0.0
346,112,2955,201011,147,0.0,0.0
359,126,2959,201011,157,0.0,0.0
600,219,4443,201011,277,0.0,0.0
647,307,4630,201011,360,0.0,0.0
729,266,4771,201011,315,1.0,0.0
761,279,5054,201011,304,0.0,0.0
607,223,4205,201011,272,0.0,0.0
310,130,3802,201011,173,0.0,0.0
347,151,3216,201011,182,1.0,0.0
626,236,4719,201011,357,0.0,0.0
672,259,4927,201011,365,0.0,0.0
518,237,4423,201011,349,0.0,0.0
454,170,3777,201011,247,0.0,0.0
384,176,3326,201011,225,1.0,0.0
335,106,3163,201011,165,1.0,0.0
351,119,3599,201011,201,1.0,0.0
601,265,5185,201011,298,0.0,0.0
678,326,5421,201011,350,0.0,0.0
0,0,0,201011,0,0.0,0.0
742,219,5200,201012,352,0.0,0.0
617,212,5353,201012,336,1.0,0.0
575,174,4609,201012,319,0.0,0.0
347,132,3238,201012,217,0.0,0.0
417,148,3489,201012,225,0.0,0.0
652,307,4703,201012,370,0.0,0.0
635,218,5203,201012,304,1.0,0.0
712,245,5502,201012,337,0.0,0.0
652,270,5019,201012,379,0.0,0.0
626,241,4321,201012,292,1.0,0.0
381,169,3051,201012,189,0.0,0.0
359,134,3324,201012,176,1.0,0.0
630,241,4895,201012,316,0.0,0.0
706,289,4838,201012,292,0.0,0.0
647,233,4256,201012,340,1.0,0.0
607,218,4192,201012,299,0.0,0.0
447,170,3506,201012,258,0.0,0.0
307,125,2603,201012,167,0.0,0.0
266,101,2715,201012,150,1.0,0.0
432,208,3534,201012,259,0.0,0.0
419,178,3404,201012,255,0.0,0.0
425,168,3289,201012,256,1.0,0.0
354,147,3318,201012,237,0.0,0.0
221,104,2315,201012,153,1.0,0.0
127,97,1783,201012,102,0.0,0.0
159,98,2159,201012,141,0.0,0.0
254,128,2716,201012,195,0.0,0.0
332,196,2908,201012,247,0.0,0.0
340,178,3290,201012,252,0.0,0.0
346,151,3271,201012,254,0.0,0.0
218,116,2580,201012,176,0.0,0.0
163,73,2266,201101,152,0.0,0.0
254,93,2967,201101,148,0.0,0.0
412,262,3738,201101,250,0.0,0.0
453,252,3862,201101,300,0.0,0.0
485,247,4645,201101,319,0.0,0.0
578,263,4634,201101,322,0.0,0.0
525,301,4452,201101,329,1.0,0.0
306,124,3037,201101,194,1.0,0.0
302,144,3374,201101,338,0.0,0.0
532,252,4234,201101,508,0.0,0.0
612,285,4829,201101,441,0.0,0.0
603,331,4674,201101,394,0.0,0.0
634,313,4618,201101,364,0.0,0.0
608,278,4309,201101,348,0.0,0.0
307,165,3079,201101,169,0.0,0.0
426,162,3840,201101,166,0.0,0.0
584,258,4672,201101,305,0.0,0.0
642,249,5114,201101,394,0.0,0.0
706,308,5677,201101,355,0.0,0.0
655,283,5078,201101,341,0.0,0.0
538,216,4140,201101,265,1.0,0.0
339,140,3211,201101,188,0.0,0.0
357,163,3528,201101,209,0.0,0.0
619,293,6540,201101,311,1.0,0.0
654,253,4660,201101,306,0.0,0.0
612,251,4935,201101,311,0.0,0.0
622,231,4324,201101,314,0.0,0.0
483,252,4047,201101,283,0.0,0.0
294,145,3066,201101,202,0.0,0.0
286,111,3227,201101,195,0.0,0.0
540,240,4769,201101,378,0.0,0.0
558,219,4502,201102,382,0.0,0.0
607,193,4320,201102,365,0.0,0.0
558,194,4384,201102,329,0.0,0.0
525,220,3865,201102,315,1.0,0.0
305,112,2686,201102,209,0.0,0.0
331,129,3299,201102,185,0.0,0.0
546,249,4370,201102,333,1.0,0.0
592,265,4607,201102,335,0.0,0.0
572,182,4518,201102,342,1.0,0.0
581,258,4596,201102,367,2.0,0.0
517,191,3886,201102,240,1.0,0.0
330,130,2891,201102,167,0.0,0.0
362,128,3029,201102,165,0.0,0.0
652,254,4294,201102,292,0.0,0.0
625,231,4394,201102,321,1.0,0.0
644,271,4679,201102,385,0.0,0.0
677,312,4443,201102,299,1.0,0.0
516,247,3735,201102,257,0.0,0.0
304,103,2723,201102,169,0.0,0.0
343,134,2987,201102,174,1.0,0.0
561,219,4052,201102,277,0.0,0.0
694,231,4464,201102,341,1.0,0.0
666,229,4541,201102,333,1.0,0.0
691,232,4480,201102,332,0.0,0.0
526,229,4136,201102,271,0.0,0.0
279,136,3011,201102,207,1.0,0.0
360,142,3352,201102,176,0.0,0.0
660,219,5229,201102,337,1.0,0.0
0,0,0,201102,0,0.0,0.0
0,0,0,201102,0,0.0,0.0
0,0,0,201102,0,0.0,0.0
670,237,4984,201103,326,0.0,0.0
688,251,5091,201103,343,0.0,0.0
647,228,4844,201103,292,0.0,0.0
574,233,4244,201103,260,0.0,0.0
349,120,3196,201103,167,1.0,0.0
424,139,3411,201103,152,0.0,0.0
678,223,5006,201103,296,0.0,0.0
674,225,4860,201103,304,0.0,0.0
654,209,5004,201103,320,1.0,0.0
678,257,5112,201103,380,0.0,0.0
544,183,3860,201103,298,0.0,0.0
351,177,2719,201103,179,0.0,0.0
411,163,3279,201103,172,0.0,0.0
636,216,4488,201103,271,0.0,0.0
684,235,4515,201103,279,0.0,0.0
607,226,4670,201103,342,0.0,0.0
614,283,4516,201103,302,1.0,0.0
539,210,3980,201103,262,0.0,0.0
322,118,2801,201103,146,1.0,0.0
345,123,2854,201103,148,0.0,0.0
662,204,4432,201103,294,0.0,0.0
670,216,4436,201103,296,0.0,0.0
659,311,4742,201103,310,0.0,0.0
694,253,4767,201103,307,0.0,0.0
619,165,3987,201103,288,0.0,0.0
304,88,2985,201103,160,0.0,0.0
327,124,3057,201103,155,0.0,0.0
680,241,4727,201103,358,0.0,0.0
655,227,4666,201103,284,0.0,0.0
666,240,4774,201103,313,0.0,0.0
593,287,4467,201103,325,0.0,0.0
587,171,3925,201104,238,0.0,0.0
273,125,2674,201104,149,1.0,0.0
367,143,3012,201104,192,1.0,0.0
643,208,4436,201104,267,0.0,0.0
697,258,4677,201104,362,0.0,0.0
753,192,4529,201104,305,0.0,0.0
736,238,4311,201104,332,0.0,0.0
593,206,3989,201104,281,0.0,0.0
317,134,2521,201104,146,0.0,0.0
429,150,2901,201104,190,0.0,0.0
713,240,4517,201104,292,0.0,0.0
731,237,4557,201104,307,0.0,0.0
667,214,4576,201104,350,1.0,0.0
651,241,4509,201104,314,0.0,0.0
505,192,3825,201104,233,1.0,0.0
356,127,2658,201104,163,1.0,0.0
324,109,2728,201104,140,0.0,0.0
641,204,4272,201104,269,0.0,0.0
761,259,4193,201104,302,0.0,0.0
665,246,4281,201104,335,1.0,0.0
530,229,4475,201104,294,0.0,0.0
459,179,3466,201104,242,0.0,0.0
334,136,2711,201104,147,0.0,0.0
316,97,2448,201104,138,0.0,0.0
628,193,3731,201104,269,0.0,0.0
908,251,4427,201104,317,0.0,0.0
880,257,4467,201104,344,0.0,0.0
701,253,4436,201104,309,0.0,0.0
536,181,3609,201104,236,0.0,0.0
327,103,2521,201104,157,0.0,0.0
0,0,0,201104,0,0.0,0.0
418,137,3005,201105,176,1.0,0.0
611,225,4068,201105,297,1.0,0.0
611,260,4416,201105,300,0.0,0.0
737,274,4669,201105,339,0.0,0.0
668,232,4695,201105,281,1.0,0.0
535,211,4121,201105,292,0.0,0.0
356,109,2712,201105,137,0.0,0.0
419,138,3095,201105,193,0.0,0.0
660,246,4433,201105,314,1.0,0.0
684,266,4680,201105,328,0.0,0.0
696,270,4650,201105,359,0.0,0.0
634,261,4608,201105,329,0.0,0.0
599,231,4058,201105,291,0.0,0.0
359,153,2873,201105,172,0.0,0.0
408,139,3092,201105,161,1.0,0.0
668,269,4560,201105,366,0.0,0.0
666,221,4850,201105,348,0.0,0.0
627,258,4849,201105,320,1.0,0.0
696,266,4498,201105,366,0.0,0.0
597,205,4169,201105,250,0.0,0.0
343,105,2549,201105,162,0.0,0.0
411,134,3106,201105,179,0.0,0.0
734,226,4659,201105,324,0.0,0.0
611,241,4547,201105,320,0.0,0.0
621,232,4377,201105,311,0.0,0.0
545,221,4419,201105,342,0.0,0.0
446,173,3721,201105,210,1.0,0.0
283,121,2739,201105,137,1.0,0.0
294,153,3075,201105,175,1.0,0.0
472,168,3713,201105,215,0.0,0.0
561,214,4798,201105,290,0.0,0.0
620,223,5071,201106,287,0.0,0.0
525,202,4479,201106,248,0.0,0.0
561,183,3642,201106,309,0.0,0.0
278,117,2899,201106,184,0.0,0.0
309,111,2970,201106,229,0.0,0.0
614,218,4142,201106,346,0.0,0.0
614,247,4086,201106,317,0.0,0.0
587,245,4009,201106,343,0.0,0.0
578,216,3982,201106,306,1.0,0.0
544,179,3682,201106,261,0.0,0.0
268,108,2626,201106,183,0.0,0.0
322,117,2582,201106,140,1.0,0.0
574,192,4022,201106,260,0.0,0.0
501,201,3443,201106,289,0.0,0.0
710,225,4241,201106,345,1.0,0.0
665,193,3857,201106,314,1.0,0.0
549,168,3316,201106,270,0.0,0.0
233,117,2477,201106,144,0.0,0.0
309,135,2904,201106,178,0.0,0.0
545,215,3887,201106,335,0.0,0.0
588,198,4169,201106,402,0.0,0.0
637,220,4210,201106,330,0.0,0.0
603,204,3992,201106,280,0.0,0.0
484,175,3350,201106,257,0.0,0.0
251,98,2531,201106,139,0.0,0.0
276,122,2707,201106,133,1.0,0.0
513,239,3550,201106,293,0.0,0.0
554,194,4005,201106,303,1.0,0.0
525,244,3845,201106,360,0.0,0.0
528,197,3966,201106,309,0.0,0.0
0,0,0,201106,0,0.0,0.0
427,187,3288,201107,258,0.0,0.0
219,94,2480,201107,128,0.0,0.0
216,69,2302,201107,148,0.0,0.0
421,187,2944,201107,218,0.0,0.0
469,187,3373,201107,283,1.0,0.0
559,186,3723,201107,351,0.0,0.0
506,245,3460,201107,346,0.0,0.0
453,157,3263,201107,254,0.0,0.0
235,94,2368,201107,135,0.0,0.0
254,75,2509,201107,151,2.0,0.0
457,218,3631,201107,257,1.0,0.0
597,211,3989,201107,318,0.0,0.0
484,198,3611,201107,287,0.0,0.0
518,222,3599,201107,279,0.0,0.0
469,162,3113,201107,264,0.0,0.0
254,97,2395,201107,133,0.0,0.0
253,98,2491,201107,144,1.0,0.0
551,199,3713,201107,317,0.0,0.0
593,208,3619,201107,313,0.0,0.0
552,261,3561,201107,338,0.0,0.0
498,207,3402,201107,293,0.0,0.0
489,197,3122,201107,429,0.0,0.0
241,112,2606,201107,162,0.0,0.0
250,123,2556,201107,188,1.0,0.0
490,182,3616,201107,317,0.0,0.0
593,222,3708,201107,343,0.0,0.0
523,209,3844,201107,372,0.0,0.0
528,228,3887,201107,328,0.0,0.0
460,200,3293,201107,333,0.0,0.0
266,82,2549,201107,141,0.0,0.0
245,88,2753,201107,146,0.0,0.0
463,199,3353,201108,299,,0.0
561,173,3730,201108,295,,0.0
525,231,3821,201108,334,,0.0
541,203,3879,201108,356,,0.0
500,179,3510,201108,272,,0.0
286,99,2793,201108,159,,0.0
272,83,2852,201108,167,,0.0
533,188,3533,201108,314,,0.0
540,198,3821,201108,352,,0.0
554,233,3689,201108,314,,0.0
462,230,3674,201108,286,,0.0
440,183,3106,201108,296,,0.0
207,105,2625,201108,163,,0.0
291,111,2694,201108,154,,0.0
415,151,3123,201108,263,,0.0
533,222,3466,201108,285,,0.0
477,191,3475,201108,258,,0.0
437,173,3424,201108,240,,0.0
510,186,3665,201108,240,,0.0
235,103,2506,201108,151,,0.0
237,96,2471,201108,169,,0.0
458,223,3413,201108,273,,0.0
504,181,3353,201108,312,,0.0
472,190,3284,201108,274,,0.0
497,182,3197,201108,270,,0.0
467,182,3128,201108,246,,0.0
269,91,2458,201108,138,,0.0
212,112,2375,201108,144,,0.0
426,146,2764,201108,233,,0.0
498,171,3255,201108,266,,0.0
483,192,3354,201108,294,,0.0
507,168,3018,201109,328,0.0,0.0
0,0,0,201109,0,0.0,0.0
226,80,2210,201109,150,0.0,0.0
276,95,2382,201109,152,1.0,0.0
380,135,2513,201109,214,0.0,0.0
447,219,2964,201109,300,0.0,0.0
510,186,3107,201109,296,0.0,0.0
489,207,3316,201109,244,1.0,0.0
443,199,3200,201109,278,0.0,0.0
291,104,2469,201109,160,0.0,0.0
295,95,2255,201109,134,0.0,0.0
457,159,3139,201109,275,0.0,0.0
532,177,3304,201109,303,0.0,0.0
518,218,3593,201109,282,0.0,0.0
548,176,3860,201109,309,0.0,0.0
538,170,3324,201109,224,0.0,0.0
319,128,2725,201109,144,0.0,0.0
291,107,2653,201109,151,1.0,0.0
597,189,3447,201109,280,0.0,0.0
561,200,3584,201109,304,0.0,0.0
521,159,3387,201109,264,0.0,0.0
568,216,3771,201109,281,0.0,0.0
491,164,3211,201109,261,0.0,0.0
331,120,2780,201109,173,0.0,0.0
318,107,2681,201109,144,0.0,0.0
580,195,3539,201109,302,0.0,0.0
605,235,3405,201109,297,0.0,0.0
540,177,3361,201109,267,0.0,0.0
588,212,3755,201109,275,0.0,0.0
481,180,3508,201109,278,1.0,0.0
0,0,0,201109,0,0.0,0.0
356,108,2892,201110,193,0.0,0.0
384,112,2763,201110,167,2.0,0.0
566,200,4026,201110,282,0.0,0.0
669,220,4056,201110,290,0.0,0.0
716,219,4096,201110,389,0.0,0.0
741,258,4706,201110,351,0.0,0.0
655,193,4128,201110,392,0.0,0.0
309,117,2928,201110,154,0.0,0.0
361,122,3489,201110,163,0.0,0.0
604,197,4118,201110,302,0.0,0.0
582,263,4585,201110,341,0.0,0.0
689,214,4242,201110,322,0.0,0.0
718,240,4453,201110,327,0.0,0.0
607,204,4108,201110,349,0.0,0.0
308,108,2726,201110,225,0.0,0.0
382,119,2846,201110,180,1.0,0.0
675,210,4285,201110,287,0.0,0.0
695,223,4534,201110,305,0.0,0.0
719,223,4364,201110,293,0.0,0.0
666,0,0,201110,324,0.0,0.0
624,209,3784,201110,312,0.0,0.0
327,108,2394,201110,137,0.0,0.0
395,106,2727,201110,177,0.0,0.0
652,231,3902,201110,318,0.0,0.0
632,182,4337,201110,278,0.0,0.0
830,243,5069,201110,358,0.0,0.0
709,253,4677,201110,350,0.0,0.0
574,163,3690,201110,257,0.0,0.0
371,124,2772,201110,185,0.0,0.0
366,127,2942,201110,183,2.0,0.0
649,228,4467,201110,315,0.0,0.0
695,230,4703,201111,333,0.0,0.0
831,220,5478,201111,395,0.0,0.0
686,321,4742,201111,331,0.0,0.0
650,473,4339,201111,385,1.0,0.0
403,193,2808,201111,188,0.0,0.0
507,216,3218,201111,205,1.0,0.0
753,283,4522,201111,347,0.0,0.0
801,273,4968,201111,411,0.0,0.0
894,292,5510,201111,416,0.0,0.0
845,302,5044,201111,396,0.0,0.0
594,220,3845,201111,317,0.0,0.0
396,117,2953,201111,206,0.0,0.0
497,136,3789,201111,205,1.0,0.0
784,226,5149,201111,355,0.0,0.0
851,292,4993,201111,387,1.0,0.0
831,247,4691,201111,405,1.0,0.0
877,299,5026,201111,425,0.0,0.0
663,228,4478,201111,326,0.0,0.0
