,daily_views
2010-06-26,121
2010-06-27,157
2010-06-28,121
2010-06-29,347
2010-06-30,326
2010-06-31,121
2010-07-01,357
2010-07-02,302
2010-07-03,216
2010-07-04,211
2010-07-05,121
2010-07-06,295
2010-07-07,120
2010-07-08,120
2010-07-09,120
2010-07-10,120
2010-07-11,243
2010-07-12,340
2010-07-13,348
2010-07-14,314
2010-07-15,316
2010-07-16,305
2010-07-17,240
2010-07-18,225
2010-07-19,305
2010-07-20,282
2010-07-21,315
2010-07-22,373
2010-07-23,416
2010-07-24,257
2010-07-25,252
2010-07-26,407
2010-07-27,453
2010-07-28,401
2010-07-29,422
2010-07-30,355
2010-07-31,253
2010-08-01,252
2010-08-02,397
2010-08-03,411
2010-08-04,388
2010-08-05,449
2010-08-06,386
2010-08-07,279
2010-08-08,234
2010-08-09,375
2010-08-10,440
2010-08-11,412
2010-08-12,437
2010-08-13,331
2010-08-14,264
2010-08-15,296
2010-08-16,359
2010-08-17,421
2010-08-18,399
2010-08-19,393
2010-08-20,390
2010-08-21,281
2010-08-22,259
2010-08-23,346
2010-08-24,455
2010-08-25,443
2010-08-26,425
2010-08-27,358
2010-08-28,275
2010-08-29,253
2010-08-30,418
2010-08-31,421
2010-09-01,405
2010-09-02,485
2010-09-03,433
2010-09-04,258
2010-09-05,262
2010-09-06,373
2010-09-07,379
2010-09-08,523
2010-09-09,451
2010-09-10,397
2010-09-11,307
2010-09-12,298
2010-09-13,434
2010-09-14,504
2010-09-15,534
2010-09-16,517
2010-09-17,379
2010-09-18,284
2010-09-19,301
2010-09-20,398
2010-09-21,468
2010-09-22,432
2010-09-23,422
2010-09-24,387
2010-09-25,263
2010-09-26,298
2010-09-27,449
2010-09-28,435
2010-09-29,443
2010-09-30,433
2010-09-31,114
2010-10-01,407
2010-10-02,286
2010-10-03,286
2010-10-04,418
2010-10-05,426
2010-10-06,442
2010-10-07,446
2010-10-08,391
2010-10-09,267
2010-10-10,276
2010-10-11,447
2010-10-12,454
2010-10-13,489
2010-10-14,427
2010-10-15,348
2010-10-16,277
2010-10-17,272
2010-10-18,421
2010-10-19,449
2010-10-20,442
2010-10-21,489
2010-10-22,439
2010-10-23,296
2010-10-24,304
2010-10-25,511
2010-10-26,488
2010-10-27,496
2010-10-28,456
2010-10-29,364
2010-10-30,287
2010-10-31,325
2010-11-01,413
2010-11-02,443
2010-11-03,466
2010-11-04,437
2010-11-05,418
2010-11-06,256
2010-11-07,279
2010-11-08,423
2010-11-09,401
2010-11-10,480
2010-11-11,421
2010-11-12,415
2010-11-13,257
2010-11-14,267
2010-11-15,387
2010-11-16,470
2010-11-17,425
2010-11-18,414
2010-11-19,382
2010-11-20,283
2010-11-21,292
2010-11-22,467
2010-11-23,475
2010-11-24,459
2010-11-25,357
2010-11-26,334
2010-11-27,274
2010-11-28,310
2010-11-29,407
2010-11-30,459
2010-11-31,109
2010-12-01,461
2010-12-02,445
2010-12-03,428
2010-12-04,326
2010-12-05,334
2010-12-06,479
2010-12-07,413
2010-12-08,445
2010-12-09,487
2010-12-10,400
2010-12-11,297
2010-12-12,284
2010-12-13,424
2010-12-14,400
2010-12-15,448
2010-12-16,407
2010-12-17,366
2010-12-18,275
2010-12-19,258
2010-12-20,367
2010-12-21,362
2010-12-22,363
2010-12-23,344
2010-12-24,260
2010-12-25,209
2010-12-26,248
2010-12-27,302
2010-12-28,354
2010-12-29,359
2010-12-30,361
2010-12-31,283
2011-01-01,259
2011-01-02,255
2011-01-03,356
2011-01-04,406
2011-01-05,425
2011-01-06,428
2011-01-07,435
2011-01-08,300
2011-01-09,444
2011-01-10,614
2011-01-11,547
2011-01-12,500
2011-01-13,470
2011-01-14,454
2011-01-15,275
2011-01-16,271
2011-01-17,410
2011-01-18,499
2011-01-19,460
2011-01-20,446
2011-01-21,370
2011-01-22,293
2011-01-23,314
2011-01-24,416
2011-01-25,411
2011-01-26,416
2011-01-27,419
2011-01-28,388
2011-01-29,306
2011-01-30,299
2011-01-31,482
2011-02-01,486
2011-02-02,469
2011-02-03,433
2011-02-04,419
2011-02-05,313
2011-02-06,289
2011-02-07,437
