date,kah,mar_auto,mob_mar_aut,month
2013-11-19,0,278,0,201311
2013-11-20,0,282,0,201311
2013-11-21,0,286,0,201311
2013-11-22,0,260,0,201311
2013-11-23,0,93,0,201311
2013-11-24,0,102,0,201311
2013-11-25,0,271,0,201311
2013-11-26,0,303,0,201311
2013-11-27,0,247,0,201311
2013-11-28,0,208,0,201311
2013-11-29,0,193,0,201311
2013-11-30,0,112,0,201311
2013-11-31,0,0,0,201311
2013-12-01,0,109,0,201312
2013-12-02,0,289,0,201312
2013-12-03,0,259,0,201312
2013-12-04,0,323,0,201312
2013-12-05,0,339,0,201312
2013-12-06,0,285,0,201312
2013-12-07,0,117,0,201312
2013-12-08,0,111,0,201312
2013-12-09,0,331,0,201312
2013-12-10,0,314,0,201312
2013-12-11,0,265,0,201312
2013-12-12,0,192,0,201312
2013-12-13,0,162,0,201312
2013-12-14,0,76,0,201312
2013-12-15,0,90,0,201312
2013-12-16,0,215,0,201312
2013-12-17,0,254,0,201312
2013-12-18,0,203,0,201312
2013-12-19,0,188,0,201312
2013-12-20,0,140,0,201312
2013-12-21,0,88,0,201312
2013-12-22,0,81,0,201312
2013-12-23,0,126,0,201312
2013-12-24,0,123,0,201312
2013-12-25,0,64,0,201312
2013-12-26,0,95,0,201312
2013-12-27,0,181,0,201312
2013-12-28,0,88,0,201312
2013-12-29,0,92,0,201312
2013-12-30,0,105,0,201312
2013-12-31,0,77,0,201312
2014-01-01,0,33,0,201401
2014-01-02,0,64,0,201401
2014-01-03,0,72,0,201401
2014-01-04,0,29,0,201401
2014-01-05,0,3,0,201401
2014-01-06,0,0,0,201401
2014-01-07,0,66,0,201401
2014-01-08,0,62,0,201401
2014-01-09,0,75,0,201401
2014-01-10,0,62,0,201401
2014-01-11,0,24,0,201401
2014-01-12,0,12,0,201401
2014-01-13,0,47,0,201401
2014-01-14,0,63,0,201401
2014-01-15,0,49,0,201401
2014-01-16,0,51,0,201401
2014-01-17,0,55,0,201401
2014-01-18,0,28,0,201401
2014-01-19,0,27,0,201401
2014-01-20,0,32,0,201401
2014-01-21,0,51,0,201401
2014-01-22,0,39,0,201401
2014-01-23,0,45,0,201401
2014-01-24,0,45,0,201401
2014-01-25,0,28,0,201401
2014-01-26,0,22,0,201401
2014-01-27,0,50,0,201401
2014-01-28,0,54,0,201401
2014-01-29,0,54,0,201401
2014-01-30,0,47,0,201401
2014-01-31,0,35,0,201401
2014-02-01,0,15,0,201402
2014-02-02,0,42,0,201402
2014-02-03,0,53,0,201402
2014-02-04,0,55,0,201402
2014-02-05,0,55,0,201402
2014-02-06,0,46,0,201402
2014-02-07,0,37,0,201402
2014-02-08,0,40,0,201402
2014-02-09,0,23,0,201402
2014-02-10,0,48,0,201402
2014-02-11,0,40,0,201402
2014-02-12,0,47,0,201402
2014-02-13,0,36,0,201402
2014-02-14,0,110,0,201402
2014-02-15,0,111,0,201402
2014-02-16,0,105,0,201402
2014-02-17,0,223,0,201402
2014-02-18,0,260,0,201402
2014-02-19,0,335,0,201402
2014-02-20,0,301,0,201402
2014-02-21,0,245,0,201402
2014-02-22,0,170,0,201402
2014-02-23,0,126,0,201402
2014-02-24,0,310,0,201402
2014-02-25,0,305,0,201402
2014-02-26,0,326,0,201402
2014-02-27,0,297,0,201402
2014-02-28,0,227,0,201402
2014-02-29,0,0,0,201402
2014-02-30,0,0,0,201402
2014-02-31,0,0,0,201402
2014-03-01,0,124,0,201403
2014-03-02,0,97,0,201403
2014-03-03,0,419,0,201403
2014-03-04,0,548,0,201403
2014-03-05,0,355,0,201403
2014-03-06,0,266,0,201403
2014-03-07,0,385,0,201403
2014-03-08,0,186,0,201403
2014-03-09,0,286,0,201403
2014-03-10,0,405,0,201403
2014-03-11,0,318,0,201403
2014-03-12,0,309,0,201403
2014-03-13,0,254,0,201403
2014-03-14,0,218,0,201403
2014-03-15,0,135,0,201403
2014-03-16,0,144,0,201403
2014-03-17,0,339,0,201403
2014-03-18,0,312,0,201403
2014-03-19,0,267,0,201403
2014-03-20,0,271,0,201403
2014-03-21,0,212,0,201403
2014-03-22,0,86,0,201403
2014-03-23,0,106,0,201403
2014-03-24,0,214,0,201403
2014-03-25,0,293,0,201403
2014-03-26,0,274,0,201403
2014-03-27,0,272,0,201403
2014-03-28,0,240,0,201403
2014-03-29,0,129,0,201403
2014-03-30,0,155,0,201403
2014-03-31,0,280,0,201403
2014-04-01,0,301,0,201404
2014-04-02,0,278,0,201404
2014-04-03,0,309,0,201404
2014-04-04,0,326,0,201404
2014-04-05,0,118,0,201404
2014-04-06,0,184,0,201404
2014-04-07,0,287,0,201404
2014-04-08,0,263,0,201404
2014-04-09,0,318,0,201404
2014-04-10,0,305,0,201404
2014-04-11,0,280,0,201404
2014-04-12,0,116,0,201404
2014-04-13,0,125,0,201404
2014-04-14,0,280,0,201404
2014-04-15,0,339,0,201404
2014-04-16,0,325,0,201404
2014-04-17,0,273,0,201404
2014-04-18,0,194,0,201404
2014-04-19,0,102,0,201404
2014-04-20,0,134,0,201404
2014-04-21,0,247,0,201404
2014-04-22,0,297,0,201404
2014-04-23,0,339,0,201404
2014-04-24,0,351,0,201404
2014-04-25,0,286,0,201404
2014-04-26,0,123,0,201404
2014-04-27,0,155,0,201404
2014-04-28,0,302,0,201404
2014-04-29,0,324,0,201404
2014-04-30,0,279,0,201404
2014-04-31,0,0,0,201404
2014-05-01,0,220,0,201405
2014-05-02,0,227,0,201405
2014-05-03,0,197,0,201405
2014-05-04,0,104,0,201405
2014-05-05,0,297,0,201405
2014-05-06,0,307,0,201405
2014-05-07,0,291,0,201405
2014-05-08,0,321,0,201405
2014-05-09,0,214,0,201405
2014-05-10,0,128,0,201405
2014-05-11,0,135,0,201405
2014-05-12,0,326,0,201405
2014-05-13,0,302,0,201405
2014-05-14,0,275,0,201405
2014-05-15,0,277,0,201405
2014-05-16,0,195,0,201405
2014-05-17,0,70,0,201405
2014-05-18,0,102,0,201405
2014-05-19,0,281,0,201405
2014-05-20,0,277,0,201405
2014-05-21,0,287,0,201405
2014-05-22,0,241,0,201405
2014-05-23,0,217,0,201405
2014-05-24,0,115,0,201405
2014-05-25,0,104,0,201405
2014-05-26,0,210,0,201405
2014-05-27,0,282,0,201405
2014-05-28,0,270,0,201405
2014-05-29,0,280,0,201405
2014-05-30,0,231,0,201405
2014-05-31,0,110,0,201405
2014-06-01,0,108,0,201406
2014-06-02,0,245,0,201406
2014-06-03,0,337,0,201406
2014-06-04,0,278,0,201406
2014-06-05,0,257,0,201406
2014-06-06,0,239,0,201406
2014-06-07,0,114,0,201406
2014-06-08,0,98,0,201406
2014-06-09,0,231,0,201406
2014-06-10,0,251,0,201406
2014-06-11,0,227,0,201406
2014-06-12,0,299,0,201406
2014-06-13,0,210,0,201406
2014-06-14,0,173,0,201406
2014-06-15,0,96,0,201406
2014-06-16,0,260,0,201406
2014-06-17,0,288,0,201406
2014-06-18,0,270,0,201406
2014-06-19,0,335,0,201406
2014-06-20,0,272,0,201406
2014-06-21,0,140,0,201406
2014-06-22,0,109,0,201406
2014-06-23,0,288,0,201406
2014-06-24,0,298,0,201406
2014-06-25,0,309,0,201406
