path_,tot_lines
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/hardirq.h","19","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/regs267x.h","336","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/irq_regs.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/shm.h","31","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/sockios.h","13","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/cacheflush.h","39","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/page_offset.h","3","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/sigcontext.h","18","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/resource.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/signal.h","162","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/percpu.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ucontext.h","12","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/mmu_context.h","32","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/pci.h","24","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/module.h","13","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/param.h","20","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/hw_irq.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/mman.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/msgbuf.h","31","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/bugs.h","16","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/termbits.h","200","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/futex.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/swab.h","10","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ipcbuf.h","29","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/device.h","7","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/flat.h","26","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/bug.h","8","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/unistd.h","364","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/system.h","160","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/uaccess.h","162","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/fb.h","12","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/user.h","75","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ptrace.h","64","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/types.h","33","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/Makefile","71","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/Kconfig","233","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/README","37","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/generic/crt0_ram.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/generic/crt0_rom.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/generic/Makefile","5","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/aki3068net/crt0_ram.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/aki3068net/Makefile","5","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/h8max/crt0_ram.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/h8max/Makefile","5","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/irq.c","82","c"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/Makefile","7","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8300h/ptrace_h8300h.c","0","c"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/generic/crt0_ram.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/generic/crt0_rom.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/generic/Makefile","5","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/edosk2674/crt0_ram.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/edosk2674/crt0_rom.S","0","S"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/edosk2674/Makefile","5","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/irq.c","104","c"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/Makefile","7","NONE"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/platform/h8s/ptrace_h8s.c","84","c"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/Kconfig.debug","68","debug"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/.gitignore","2","gitignore"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/blackfin/mm/sram-alloc.c","859","c"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/blackfin/mm/Makefile","5","NONE"
